"";"text";"type";"Englisch"
"26";"Der Berater kam mit einem Produkt auf uns zu, welches zu unseren Geschäftsinhalten gepasst hat und entsprechend auch zum Tragen kam. Kurze und prägnante Absprachen haben den Prozess sehr effizient gemacht und haben zum Erfolg geführt.";"Gewissenhaft";"The consultant approached us with a product that fitted in with our business content and also had a corresponding impact. Short and concise agreements made the process very efficient and led to success."
"27";"super, hat alles schnell und reibungslos geklappt. gute Beratung";"Initiativ";"super, everything worked out quickly and smoothly. good advice"
"28";"Herr vorname nachname hat mich von Beginn der Kontaktaufnahme bis zur Auszahlung der Kreditsumme perfekt beraten und war immer erreichbar. Sehr empfehlenswert!!";"Initiativ";"Mr. vorname surname advised me perfectly from the beginning of the contact until the payment of the loan amount and was always available. Very recommendable!"
"29";"Antragsprozess lief reibungslos ab, sehr nette und vorbildliche Kommunikation und Unterstützung bei Fragen. Herr nachname hat uns sehr gut und kompetent betreut. Reibungslose und seriöse Angebote und schnelle Kreditauszahlung. Selbst nach der Auszahlung steht uns Herr Hoffhaus weiterhin gerne zur Verfügung. Insgesamt sehr positive Erfahrung, man kann es bedenkenlos weiterempfehlen.";"Stetig";"The application process ran smoothly, very nice and exemplary communication and support with questions. Mr. surname cared for us very well and competently. Smooth and reliable offers and fast loan disbursement. Even after the payment Mr. Hoffhaus is still at our disposal. Overall very positive experience, one can recommend it without hesitation."
"30";"Freundliche und kompetente Mitarbeiter, die Vermittlung hat nur wenige Tage gedauert. Top!";"Initiativ";"Friendly and competent staff, the mediation took only a few days. Top!"
"31";"Mein unternehmen Kundenbetreuer hat sich sehr gut mit unserem Geschäftsmodell beschäftigt Und dabei die richtigen Fragen gestellt um unser Unternehmen lukrativ gegenüber Kreditgebern darzustellen sowie mit Zahlen und Fakten zu untermauern. Entsprechend haben wir schnell den idealen Finanzpartner für unser Wachstum gefunden. Vielen lieben Dank für die Unterstützung!";"Gewissenhaft";"My company Account Manager has been very well involved with our business model, asking the right questions to lucratively present our company to lenders and back it up with facts and figures. Accordingly, we quickly found the ideal financial partner for our growth. Thank you very much for your support!"
"32";"Professionelle und schnelle Abwicklung. Wir konnten einen neuen Bankpartner gefunden und in sehr kurzer Zeit zu unterschriftsreifen Verträgen kommen. Gerne wieder.";"Gewissenhaft";"Professional and fast processing. We were able to find a new banking partner and reach contracts ready for signing in a very short time. I'd love to."
"33";"Das war ein tolles Ergebniss.Für den guten Service kann man sich nur Bedanken ! Mit einem Unternehmen wie diesem an der seite macht es wieder Spaß Unternehmer zu sein !! Ich kann nur sagen weiter so !!";"Initiativ";"This was a great result and we can only thank you for the good service ! With a company like this on the site it's fun to be an entrepreneur again! All I can say is keep it up!"
"34";"Super Beratung. Toller Service und sehr schnell. Kann ich nur jedem empfehlen.";"Initiativ";"Great advice. Great service and very fast. I can only recommend it to anyone."
"35";"Top Beratung und erfolgreicher Abschluss! Vielen Dank, ich kann Sie jedem jederzeit empfehlen.";"Initiativ";"Top advice and successful conclusion! Thank you, I can recommend you to anyone at any time."
"36";"Super Service! Wir sind mit der Beratung von Herrn nachname sehr zufrieden. Die Gespräche waren stets von Offenheit und Vertrauen geprägt. Jederzeit gerne wieder.";"Initiativ";"Super Service! We are very satisfied with the advice given by Mr. surname. The discussions were always characterized by openness and trust. Anytime again."
"37";"Top-Service. Sehr lösungsorientiert und schnell. Rückfragen an die Finanzierungsgeber wurden schnell und kompetent bearbeitet und im Kundensinne vermittelt. Finanzierungen erfolgten erfolgreich und schnell. Sehr moderne und fast papierlose Abwicklung. Jederzeit gerne wieder.";"Gewissenhaft";"Top service. Very solution-oriented and fast. Questions to the financing providers were dealt with quickly and competently and mediated in the customer's interest. Financing was successful and fast. Very modern and almost paperless handling. Anytime again."
"38";"die Betreuung durch Herrn nachname war professionell , kompetent und erfolgreich. Die Begleitung bei der Antragstellung war sehr hilfreich. in wenigen Tagen war das gewünschte Ergebnis realisiert.";"Gewissenhaft";"the support by Mr. surname was professional, competent and successful. The support during the application process was very helpful. the desired result was achieved in just a few days."
"39";"Kompetent, Lösungsorientiert, Schnell - Gespräche auf Augenhöhe und immer auf dem Laufenden gehalten. Besser geht es nicht.";"Initiativ";"Competent, solution-oriented, fast - conversations at eye level and always kept up to date. That's as good as it gets."
"40";"Unklompiziert Schnell";"Dominant";"Uncomplicated Fast"
"41";"Ich kann leider nur 5 Sterne geben. Herr nachname von unternehmen hat mich trotz erschwerter Bedingungen immer sehr kompetent betreut und letztendlich mir meinen Wunsch näher gebracht. TOP!";"Initiativ";"I'm afraid I can only give five stars. Despite difficult conditions, Mr. surname von unternehmen has always been very competent in looking after me and ultimately brought me closer to my wish. TOP! "
"42";"Vielen Dank für die tolle Unterstützung von unternehmen! Ich bin sehr zufrieden mit der Arbeit und vor allem hatte ich immer das Gefühl, dass man sich echt Zeit nimmt und sich um den Kunden richtig gut kümmert und das mit einem festen Ansprechpartner, der auch immer zu erreich war, oder sich umgehend gemeldet hat. Ich würde jederzeit wieder mit unternehmen arbeiten. Viele Grüße Lutz Schumann Druckerei Schumann";"Initiativ";"Many thanks for the great support of unternehmen! I am very satisfied with the work and above all I always had the feeling that you take real time and take really good care of the customer and that you did so with a fixed contact person who was always available or contacted me immediately. I would always work with unternehmen again. Many greetings Lutz Schumann Schumann Printing Company"
"43";"Nachdem ich zunächst durch einen Mitarbeiter einen ablehnenden Bescheid bekommen habe hat sich ein paar Tage später ein anderer Mitarbeiter bei mir gemeldet und mir mitgeteilt, dass es wohl doch noch eine Möglichkeit gibt für meinen Antrag auf eine Finanzierung. Es hat nicht lange gedauert und ich bekam ein gutes Angebot welches ich dann auch angenommen habe. Ich kann das Unternehmen unternehmen nur bestens empfehlen was die sehr gute Kompetenz, die Freundlichkeit, die Erreichbarkeit und die schnelle Bearbeitung angeht, absolut weiter empfehlen! Wenn ich mich da an einem anderen Vermittler erinnere, wo 6.000,00 € zzgl. MwSt. Vermittlungsgebühr von dem beantragten Darlehen fällig werden und sofort bei der Auszahlung abgezogen werden, und das bei einem Zinnssatz von 14,49 %, dann bin ich froh, das es bei unternehmen so reibungslos und Kostengünstig abgewickelt wurde!";"Gewissenhaft";"After I first received a refusal from an employee, another employee contacted me a few days later and informed me that there was still a possibility for my application for financing. It didn't take long and I got a good offer which I accepted. I can only highly recommend the company as far as the very good competence, the friendliness, the accessibility and the fast processing are concerned, absolutely recommend it! If I remember another mediator where 6.000,00 € plus VAT. If a commission fee is due on the loan applied for and deducted immediately upon payment, and at a rate of 14.49%, then I am glad that it was handled so smoothly and inexpensively by companies!"
"44";"Kurze Bearbeitungszeit und gute Angebote. Verbindliche Zusagen.";"Dominant";"Short processing time and good offers. Binding commitments."
"45";"Nach einer kleinen Anlaufschwierigkeit (es mussten einige Unterlagen mehr als angenommen zusammengetragen werde) hat die Abwicklung und vor allem die Begleitung durch unternehmen hervorragend auch zwischen den Feiertagen geklappt. Gerne wieder. Danke.";"Stetig";"After a small initial difficulty (some documents had to be collected more than expected), the processing and especially the company support worked excellently even between the holidays. I'd love to. Thank you. I'll take care of it."
"46";"Alles bestens";"Dominant";"Everything is fine"
"47";"Kompetent und hilfsbereit!";"Initiativ";"Competent and helpful!"
"48";"Es war für uns eine der besten Erfahrungen zusammen mit unternehmen eine Finanzierung für unseren Fuhrpark zu finden... Wir möchten uns an dieser Stelle nochmals bedanken und wir werden sicherlich auf unternehmen zurück kommen. Vielen Dank";"Initiativ";"It was one of the best experiences for us to find a financing for our fleet together with companies... We would like to take this opportunity to thank you again and we will certainly come back to unternehmen. Thank you very much."
"49";"Wir sind ein typisches KMU, also ein klein- und mittelständisches Unternehmen, und haben uns an unternehmen gewandt, da wir kurzfristig eine Zwischenfinanzierung benötigten. Bereits nach dem ersten Gespräch mit unserer Hausbank hatte sich nämlich herausgestellt, dass das Vorgehen und die Entscheidungswege nicht mit unseren Anforderungen und Bedürfnissen zu vereinbaren waren. Ganz anders bei unternehmen: Die Mitarbeiter von unternehmen, sowohl im Vertrieb als auch in der Beratung, sind nicht nur engagiert sondern auch äußerst kundenorientiert. Unser Berater hat seine Aktivitäten ganz auf unseren Bedarf ausgerichtet und zielgerichtet in kürzester Zeit passende Finanzierungspartner gefunden. Der gesamte Prozess war digitalisiert und die Abwicklung sehr problemlos. Vor allem hat uns die Geschwindigkeit mehr als positiv überrascht. Während des gesamten Verfahrens wurden wir von unserem Berater begleitet, jede terminliche Zusage wurde eingehalten. unternehmen hat es u.E. tatsächlich geschafft, die oft analogen und zeitaufwendigen Prozesse bei der Unternehmensfinanzierung von klassischen Banken zu digitalisieren. Da unternehmen dabei extrem serviceorientiert agiert, ist für uns auch das Preis-/Leistungsverhältnis absolut in Ordnung. Wir werden unternehmen auch zukünftig bei Finanzierungsfragen berücksichtigen.";"Gewissenhaft";"We are a typical SME, i.e. a small and medium-sized enterprise, and have turned to companies because we needed interim financing at short notice. Already after the first conversation with our house bank it turned out that the procedure and the decision paths could not be reconciled with our requirements and needs. A different kind of company: The employees of companies, both in sales and in consulting, are not only committed but also extremely customer-oriented. Our consultant has aligned his activities entirely to our needs and found suitable financing partners in the shortest possible time. The entire process was digitalized and the handling was very problem-free. Above all, the speed surprised us more than positively. We were accompanied by our consultant throughout the entire process, and every deadline was met. in our opinion, the company actually managed to digitize the often analogous and time-consuming processes involved in the corporate financing of traditional banks. Since companies are extremely service-oriented, the price/performance ratio is also absolutely in order for us. We will continue to take companies into account in financing issues in the future."
"50";"Der Kontakt gefiel mir sehr gut. Die Bearbeitung war Professionell, die Abwicklung war für mich absolut problemlos. Ich habe mich kompetent beraten gefühlt und bei einem zukünftigen bedarf an einer Finanzierung werde ich mich gerne wieder an dieses Portal wenden.";"Stetig";"I liked the contact very much. The processing was professional, the handling was absolutely problem-free for me.    I felt that I received competent advice and if there is a need for financing in the future, I will gladly turn to this portal again."
"51";"Wir können nur bestätigen, dass die Zusammenarbeit mit der Plattform unternehmen kompetent und zielführend verlaufen ist. Der Berater der unternehmen, Herr vorname nachname hat uns fachgerecht begleitet. Wir haben die gewünschte Finanzierung erhalten und sind mit der GRENKE BANK ist Geschäftsverbindung getreten. Dabei hat der Prozess zwischen Antragsstellung auf der unternehmen Plattform bis zum Angebot gerade mal 9 Tage gedauert. Schneller geht es sicherlich nicht. Die Plattform unternehmen ist eine hervorragende Alternative zur schnellen Mittelstandsfinanzierung. Brunhilde Lademann Geschäftsführung der CUTETECH GmbH";"Gewissenhaft";"We can only confirm that the cooperation with the platform was competent and target-oriented. The consultant of the company, Mr. first name last name accompanied us professionally. We have received the desired financing and have entered into a business relationship with GRENKE BANK. The process between the application on the company platform and the offer took just 9 days. It can't get any faster than that. The platform unternehmen is an excellent alternative to rapid SME financing. Brunhilde Lademann Managing Director of CUTETECH GmbH"
"52";"Guter Support, unkomplizierte Abwicklung. Etwas höherer Zinssatz als bei klassischer Hausbank, dafür schnell und ohne Unmengen von Unterlagen einzureichen. Empfehlenswert.";"Dominant";"Good support, uncomplicated handling. Somewhat higher interest rate than with a traditional house bank, but it can be submitted quickly and without a lot of documentation. Recommended."
"53";"Hervorrangende, freundliche und sehr kompetente Beratung. Zudem eine sehr gut Betreuung im gesamten Verfahren und stets ein Ansprechpartner an meiner Seite. Kann ich nur weiterempfehlen.";"Initiativ";"Excellent, friendly and very competent advice. In addition, very good support throughout the entire process and always a contact person at my side. I can only recommend."
"54";"Also jetzt mal ehrlich, wir kennen alle die old-school Bankenwelt wo alles relativ langsam abläuft. Aber so etwas habe ich noch nie erlebt. In nicht mal 2 Wochen war der Kredit genehmigt - kaum zu glauben. Danke nochmal an den TOP Berater!";"Initiativ";"Honestly, we all know the old-school banking world where everything is relatively slow. But I've never seen anything like it. In less than two weeks the loan was approved - hard to believe. Thanks again to the TOP consultant!"
"55";"Sehr kompetente, schnelle und zuverlässige Beratung bzw. Unterstützung bei allen Fragen. Gerne wieder.";"Stetig";"Very competent, fast and reliable advice and support for all questions. I'd love to."
"56";"super Service, schnelle Bearbeitung";"Initiativ";"super service, fast processing"
"57";"Schnell, unkompilziert, ehrlich.";"Initiativ";"Quick, uncomplicated, honest."
"58";"unternehmen war mir bei der Suche nach einem alternativen Finanzierer sehr hilfreich. Sehr gefallen hat mir, dass von vorn herein klar ist, dass die Finanzierung nicht eben ein Mausklick entfernt ist. Die Ausschreibung war dennoch recht schnell und konnte, auf meinen Wunsch hin, auch, früher als der regulären Zeitraum, beendet werden. Ebenfalls gut, dass vom Mitarbeiter direkt angerufen wurde, weil für einen der Ausschreibungsteilnehmern noch Informationen erforderlich waren. Erstaunlich in meinem Fall war, das ich genau von dem Finanzierer das günstigste Angebot erhalten habe, mit dem ich auch über meine Hausbank finanziert hätte, nur zu besseren Konditionen.";"Gewissenhaft";"The search for an alternative financier was very helpful for me. I really liked the fact that it is clear from the outset that financing is not just a mouse click away. The tender was nevertheless quite fast and could, at my request, also be terminated earlier than the regular period. It was also good that the employee called directly because information was still required for one of the tender participants. It was astonishing in my case that I received the most favourable offer from the financier, with which I would have financed also over my house bank, only to better conditions."
"59";"alles super gelaufen.";"Initiativ";"everything went great."
"60";"kompetent, schnell, sehr gute und seriöse Angebote";"Dominant";"competent, fast, very good and serious offers"
"61";"Top Beratung, zügige Bearbeitung sowie Kreditauszahlung, unkompliziert!!";"Dominant";"Top advice, speedy processing and loan disbursement, uncomplicated!"
"62";"Professionelle Beratung und kundenorientierte Suche nach potenziellen Investoren oder Banken. Kontinuierliche Begleitung bis zum Abschluss.";"Gewissenhaft";"Professional advice and customer-oriented search for potential investors or banks. Continuous support until completion."
"63";"alles bestens";"Dominant";"everything is fine"
"64";"unternehmen, ist Kompetent, schnell und verbindlich.";"Dominant";"is competent, fast and binding."
"65";"Sehr persönliche, schnelle und auf unser Geschäft abgestimmte Beratung.";"Initiativ";"Very personal, fast and business oriented advice."
"66";"Einfache, sichere und schnelle Abwicklung! Alles TOP!";"Initiativ";"Simple, safe and fast processing! Everything TOP!"
"67";"Vielen Dank für die schnelle und unkomplizeirte Bearbeitung der Finanzierungsanfrage. Mein Kunde war begeistert. vorname Stolterfoht Vermögensberater";"Initiativ";"Many thanks for the quick and uncomplicated processing of the financing request. My client was thrilled. first name Stolterfoht investment advisor"
"68";"Meine Finanzierungsanfrage wurde schnell und engagiert bearbeitet. Die unternehmen GmbH kann man durchaus weiterempfehlen.";"Gewissenhaft";"My financing request was processed quickly and with commitment. The unternehmen GmbH can certainly be recommended to others."
"69";"Stets freundliche, kompetente und zielgerichtete Beratung und Betreuung seitens des Kundenberaters";"Gewissenhaft";"Always friendly, competent and targeted advice and support from the customer advisor"
"70";"Faire Beratung und gute Betreuung. Interessante Alternativen, die Wettbewerb aufzeigen";"Dominant";"Fair advice and good support. Interesting alternatives that demonstrate competition"
"71";"Schnell und unkompliziert!";"Dominant";"Fast and uncomplicated!"
"72";"kompetente und schnelle Abwicklung der Anfrage. top ausgebildete Mitarbeiter. schnelle Entscheidungen. Kommunikation mit dem Berater ging sehr schnell und reibungslos.";"Dominant";"competent and fast handling of the inquiry. highly trained employees. quick decisions. Communication with the consultant went very quickly and smoothly."
"73";"Gerne wieder. Sehr schnelle Bearbeitung";"Dominant";"I'd love to. Very fast processing"
"74";"Ich kann unternehmen nur empfehlen. Schnell, kompetent und nett Prof. Heinz Schelwat";"Initiativ";"I can only recommend undertaking. Fast, competent and nice Prof. Heinz Schelwat"
"75";"Es war ein sehr freundlicher Ansprechpartner und die Bearbeitung war auch sehr zügig.";"Stetig";"It was a very friendly contact person and the processing was also very fast."
"76";"unternehmen arbeitet auf hohem Niveau und ist ein absolut verlässlicher und kompetenter Partner in Sachen Finanzierung von Unternehmen und Geschäftsvorhaben. Die direkte Zuordnung eines Mitarbeiters bedeutet optimale Betreuung. Ebenfalls ist die Arbeitsweise transparent und verständlich. Ergebnis: eine absolute Top-Note für unternehmen!";"Initiativ";"The company works at a high level and is an absolutely reliable and competent partner when it comes to financing companies and business projects. The direct assignment of an employee means optimal support. The working method is also transparent and understandable. Result: an absolute top mark for companies!"
"77";"Absolute kurze Reaktionszeit, kompetente Unterstützung, schnelle Entscheidung.";"Dominant";"Absolutely short reaction time, competent support, quick decision."
"78";"Die Kundenberaterin Frau Laux ist kompetent und schnell, es werden klare und sichere Abläufe vorab besprochen. unternehmen kann ich jedem Unternehmen ans Herz legen.";"Initiativ";"Ms. Laux is a competent and fast client advisor, who discusses clear and secure procedures in advance. I can recommend a company to any company."
"79";"EINFACHE VERBINDUNG KOMPETENTE BERATUNG UND SCHNELLE ABWICKLUNG. EMPFEHLUNG";"Dominant";"SIMPLE CONNECTION COMPETENT ADVICE AND FAST PROCESSING. RECOMMENDATION"
"80";"Guter Service!";"Dominant";"Good service!"
"81";"Sehr schnelle Antwort und kompetente Beratung. Ich bin mit dem Service sehr zufrieden.";"Initiativ";"Very fast response and competent advice. I am very satisfied with the service."
"82";"Schnelle kompetente Beratung mit Erfolg! Mein Ansprechpartner war Hr. vorname nachname, er war schnell und zuverlässig. Zusagen wurden eingehalten. Kommunikation war einwandfrei. Hr. Prinz konnte die Kennzahlen richtig erkennen. Nach einer Woche war das gewünschte Darlehen ausgezahlt. Somit hat es sein Zweck absolut erfüllt.";"Dominant";"Quick and competent advice with success! My contact person was Mr. vorname surname, he was fast and reliable. Promises were kept. Communication was flawless. Mr. Prinz was able to identify the key figures correctly. After one week the desired loan was disbursed. Thus it has absolutely fulfilled its purpose."
"83";"reibungsloser Ablauf";"Dominant";"smooth process"
"84";"Das Gesamtpaket war Spitze und ist sehr zu empfehlen.";"Initiativ";"The overall package was great and is highly recommended."
"85";"unternehmen ist schnell, kompetent und liefert sehr gute und leicht verwertbare Ergebnisse.";"Dominant";"is fast, competent and delivers very good and easily usable results."
"86";"Ich bin sehr zufrieden mit Ihrer Dienstleistung , Herr nachname ist ein absolut kompetenter und zuverlässiger Mitarbeiter .";"Initiativ";"I am very satisfied with your service, Mr surname is an absolutely competent and reliable employee. "
"87";"Nur beste Erfahrungen!";"Initiativ";"Only the best experiences!"
"88";"Schneller, nette und kompetenter Kontakt. Einfache Abwicklung.";"Dominant";"Fast, nice and competent contact. Simple handling."
"89";"Sehr schnelle, kompetente und unkomplizierte Abwicklung/Beratung.";"Dominant";"Very fast, competent and uncomplicated processing / consulting."
"90";"Kompent & Schnell und Effizient!";"Dominant";"Competent & Fast and Efficient!"
"91";"Die Firma unternehmen und hier insbesondere Herr vorname nachname machen einen sehr kompetenten Eindruck. Schon nach wwenigen Tagen lag das erste annehmbare Angebot vor. Ich bin mehr als zufrieden.";"Stetig";"The company and here in particular Mr first name surname make a very competent impression. Already after a few days the first acceptable offer was available. I'm more than happy. "
"92";"Hervorragende und sehr schnelle Bearbeitung eines Firmen-Kredites. Super toller und kompetenter Kontakt zu dem Mitarbeiter. Positiver Bescheid innerhalb weniger Tage mit Auszahlung des Kreditbetrages noch am selben Tag nach der Genehmigung. Das mit Abstand beste im Bereich von gewerblichen Finanzierungen, was ich den letzten 20 Jahren Business erlebt habe. 5-Sterne plus Empfehlung. Peter Mintel";"Initiativ";"Excellent and very fast processing of a corporate loan. Super great and competent contact to the employee. Positive decision within a few days with payment of the loan amount on the same day after approval. By far the best in commercial finance I have experienced in the last 20 years of business. 5 stars plus recommendation. Peter Mintel"
"93";"Eine tolle Beratung führte zur optimalen Finanzierung, die sehr schnell abgewickelt wurde.";"Stetig";"Great advice led to optimal financing, which was handled very quickly."
"94";"Sofortige und schnelle Hilfe Immer eine Lösung parat Freundliches Personal";"Initiativ";"Immediate and fast help Always a solution at hand Friendly personnel"
"95";"Super Service, freundliche, vertrauensvolle Finanzberater, große Anzahl an Finanzierungspartnern, sehr seriös, normaler Aufwand beim einreichen der benötigten Unterlagen";"Stetig";"Super service, friendly, trustful financial advisors, large number of financing partners, very serious, normal effort in submitting the required documents"
"96";"Der Kontakt kam unkompliziert zustande. Ich bin regelmäßig zurückgerufen worden und ebenso regelmäßig über den derzeitigen Stand des Projektes auf dem Laufenden gehalten worden. Auftretende Fragen wurden sofort und umfassend beantwortet, Probleme auch mit aktiven Vorschlägen aus der Welt geschafft. Einzig der Auswahlprozess, der letztendlich zur Wahl des Investors geführt hat, war nicht komplett transparent.";"Gewissenhaft";"The contact was uncomplicated. I have been regularly called back and kept up to date on the current status of the project. Questions that arose were answered immediately and comprehensively, and problems were solved with active suggestions. Only the selection process, which ultimately led to the choice of the investor, was not completely transparent."
"97";"Gute Kombination von digitaler Abwicklung und persönlicher Betreuung bei Leasinganfragen";"Gewissenhaft";"Good combination of digital processing and personal support for leasing enquiries"
"98";"Sehr gute Partnerschaft!!! Seit Sommer 2018 4 Vorgänge abgewickelt und alles immer rasant schnell. Ein Ansprechpartner der immer erreichbar ist. Bisher nichts zu bemängeln.";"Initiativ";"Very good partnership!!! Since the summer of 2018, 4 processes have been processed and everything is always fast. A contact person who is always available. Nothing to criticize so far."
"99";"Top schnelle kompetente Abwicklung absolute Profis am Werk";"Initiativ";"Top fast competent handling absolute professionals at work"
"100";"Letztlich toll, dass es funktioniert hat und das Engagement von Herrn nachname ist klasse. Das zurückgezogene Angebot der APO Bank hat uns leider einige Probleme bereitet";"Gewissenhaft";"In the end it was great that it worked and the commitment of Mr. surname is great. Unfortunately, the withdrawal of APO Bank's offer caused us a number of problems"
"101";"Schnelle und einfache Bearbeitung, gute Beratung";"Dominant";"Quick and easy processing, good advice"
